Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00 153590.38     4.55    38600     0.00     0.00  mod_clm_accflds_updateaccflds_
  0.00 153594.88     4.50    13000     0.00     0.00  mod_rad_radiation_aermix_
  0.00 153599.20     4.33                             mod_micro_interface_random_overlap_
  0.00 153603.15     3.95 1587272036     0.00     0.00  lapack_dgbsv_idamax_
  0.00 153607.05     3.90 1236701522     0.00     0.00  mod_heatindex_zs_
  0.00 153610.95     3.90  1094400     0.00     0.00  mod_mppparam_linear_to_cartesian_real8_subgrid_subgrid_
  0.00 153614.71     3.76      400     0.01     0.01  mod_rad_radiation_radems_
  0.00 153618.46     3.75 1471280580     0.00     0.00  lapack_dgbsv_dscal_
  0.00 153622.20     3.74     1600     0.00     0.00  mod_mppparam_global_to_linear_real8_subgrid_subgrid_
  0.00 153625.78     3.58 3812631137     0.00     0.00  mod_micro_interface_cldfrac_clwfromt
  0.00 153629.35     3.57   384200     0.00     0.00  mod_sun_zenitm_
  0.00 153632.88     3.53      400     0.01     0.01  mod_rad_radiation_trcplk_
  0.00 153636.11     3.23    38600     0.00     0.04  mod_clm_regcm_atmosphere_to_land_
  0.00 153639.28     3.17 1001510922     0.00     0.00  mod_clm_qsat_qsat_
  0.00 153642.36     3.08    13200     0.00     0.00  mod_rad_o3blk_read_o3data_
  0.00 153645.38     3.02  5872446     0.00     0.00  mod_heatindex_solveii_
  0.00 153648.38     3.00    38800     0.00     0.00  mod_clm_staticecosysdyn_ecosystemdyn_
  0.00 153651.37     2.99   579600     0.00     0.00  mod_mppparam_real8_2d_do_sub_collect_
  0.00 153654.27     2.90    38600     0.00     0.00  mod_clm_slaketemperature_slaketemperature_
  0.00 153656.95     2.68 115991456     0.00     0.00  lapack_dgbsv_dgbtrs_
  0.00 153659.54     2.59    13200     0.00     0.00  mod_clm_urban_urbanalbedo_
  0.00 153662.12     2.58      400     0.01     0.01  mod_clm_typeinit_initclmtype_init_column_pstate_type
  0.00 153664.67     2.55    13200     0.00     0.00  mod_clm_surfacealbedo_twostream_
  0.00 153667.09     2.42 57726620     0.00     0.00  mod_clm_canopyfluxes_hybrid_brent
  0.00 153669.46     2.37      400     0.01     0.01  mod_clm_typeinit_initclmtype_init_pft_cflux_type
  0.00 153671.73     2.27    38800     0.00     0.00  mod_clm_fracwet_fracwet_
  0.00 153673.96     2.23      200     0.01     0.15  mod_init_init_
  0.00 153675.99     2.03 25465116     0.00     0.00  mod_rad_radiation_trcems_
  0.00 153677.89     1.90   217493     0.00     0.00  mod_clm_h2osfc_frach2osfc_
  0.00 153679.70     1.81 10049460     0.00     0.00  mod_heatindex_solve4_
  0.00 153681.51     1.81      400     0.00     0.00  mod_clm_typeinit_initclmtype_init_pft_pstate_type
  0.00 153683.26     1.75      400     0.00     0.00  mod_rad_radiation_trcpth_
  0.00 153684.94     1.68 115991456     0.00     0.00  lapack_dgbsv_ilaenv_
  0.00 153686.60     1.66 231745760     0.00     0.00  mod_heatindex_qv_
  0.00 153688.24     1.64                             mod_clm_canopyfluxes_ci_func_
  0.00 153689.86     1.62    26400     0.00     0.00  mod_clm_snicar_snicar_rt_
  0.00 153691.44     1.58     1600     0.00     0.00  mod_memutil_getmem3d_l_
  0.00 153692.94     1.50      400     0.00     0.00  mod_clm_typeinit_initclmtype_init_pft_nflux_type
  0.00 153694.40     1.46      600     0.00     0.00  mod_mppparam_real8_4d_collect_
  0.00 153695.84     1.44      400     0.00     0.01  mod_mppparam_cl_setup_real8_
  0.00 153697.25     1.41 487639342     0.00     0.00  mod_sunorbit_orb_cosz_r8_
  0.00 153698.65     1.40 457619074     0.00     0.00  mod_heatindex_pvstar_
  0.00 153699.90     1.25    38600     0.00     0.00  mod_clm_activelayer_alt_calc_
  0.00 153701.14     1.24      200     0.01     0.01  mod_bdycod_init_bdy_
  0.00 153702.35     1.21      200     0.01     0.01  mod_clm_initimeconst_initimeconst_
  0.00 153703.50     1.15      400     0.00     0.00  mod_mppparam_global_to_linear_integer_subgrid_subgrid_
  0.00 153704.62     1.12      400     0.00     0.00  mod_clm_typeinit_initclmtype_init_pft_eflux_type
  0.00 153705.65     1.03      200     0.01     0.01  mod_clm_mkarbinit_mkregcminit_
  0.00 153706.67     1.02   384000     0.00     0.00  mod_bdycod_monudge2d_
  0.00 153707.62     0.95     4800     0.00     0.00  mod_output_vertint_
  0.00 153708.56     0.94     7215     0.00     0.00  mod_clm_urban_net_solar_
  0.00 153709.49     0.93 113293316     0.00     0.00  mod_clm_frictionvelocity_moninobukini_
  0.00 153710.37     0.88 172018017     0.00     0.00  mod_capecin_getcape_getthe
  0.00 153711.23     0.86    77200     0.00     0.00  mod_ocn_common_ocn_interf_
  0.00 153712.09     0.86     8400     0.00     0.00  mod_mppparam_real8_3d_distribute_
  0.00 153712.95     0.86      200     0.00     0.00  mod_ncout_init_output_streams_
  0.00 153713.75     0.81 299589600     0.00     0.00  mod_output_output_pfwsat
  0.00 153714.55     0.80      800     0.00     0.00  mod_memutil_getmem3d_r_
  0.00 153715.33     0.78     1400     0.00     0.00  mod_memutil_getmem3d_i_
  0.00 153716.09     0.76    38600     0.00     0.00  mod_clm_soiltemperature_phasechangeh2osfc_
  0.00 153716.84     0.75    48000     0.00     0.00  mod_memutil_getmem3d_d_
  0.00 153717.59     0.75    38600     0.00     0.00  mod_clm_slakehydrology_slakehydrology_
  0.00 153718.30     0.71 257919382     0.00     0.00  mod_pbl_holtbl_pfqsat_
  0.00 153718.94     0.64    13000     0.00     0.01  mod_clm_regcm_albedoclm45_
  0.00 153719.54     0.60    77200     0.00     0.00  mod_clm_slaketemperature_soilthermprop_lake_
  0.00 153720.10     0.56      200     0.00     0.00  mod_clm_surfrd_surfrd_get_grid_
  0.00 153720.62     0.52    13000     0.00     0.01  mod_lm_interface_surface_albedo_
  0.00 153721.13     0.51                             mod_clm_qsat_
  0.00 153721.63     0.50    38600     0.00     0.00  mod_clm_pftdyn_pftdyn_wbal_init_
  0.00 153722.13     0.50                             lapack_dgbsv_xerbla_
  0.00 153722.62     0.49      200     0.00     0.00  mod_clm_typeinit_initclmtype_init_pft_epv_type
  0.00 153723.11     0.49   154400     0.00     0.00  mod_clm_snowhydrology_buildsnowfilter_
  0.00 153723.58     0.47 231745760     0.00     0.00  mod_heatindex_le_
  0.00 153724.05     0.47      400     0.00     0.00  mod_clm_typeinit_initclmtype_init_column_wstate_type
  0.00 153724.52     0.47   384000     0.00     0.00  mod_mppparam_real8_2d_exchange_left_right_bottom_top_
  0.00 153724.97     0.45     4800     0.00     0.00  mod_capecin_otlift_
  0.00 153725.39     0.42   242400     0.00     0.00  mod_mppparam_real8_2d_collect_
  0.00 153725.79     0.40      400     0.00     0.00  mod_clm_typeinit_initclmtype_init_pft_cstate_type
  0.00 153726.17     0.38    77200     0.00     0.00  mod_clm_snicar_snowage_grain_
  0.00 153726.55     0.38    46200     0.00     0.00  mod_clm_histfile_hist_addfld1d_
  0.00 153726.92     0.37    38600     0.00     0.00  mod_clm_subgridave_l2g_1d_
  0.00 153727.28     0.36 115991456     0.00     0.00  lapack_dgbsv_dgbsv_
  0.00 153727.64     0.36 115991456     0.00     0.00  lapack_dgbsv_dgbtrf_
  0.00 153728.00     0.36    37600     0.00     0.00  mod_clm_histfile_htape_addfld_
  0.00 153728.35     0.35   384000     0.00     0.00  mod_mppparam_real8_2d_exchange_left_bottom_
  0.00 153728.70     0.35    38600     0.00     0.00  mod_clm_slakefluxes_slakefluxes_
  0.00 153729.02     0.32    78000     0.00     0.00  mod_mppparam_cartesian_to_linear_real8_subgrid_subgrid_
  0.00 153729.34     0.32    39000     0.00     0.00  mod_mppparam_cartesian_to_linear_integer_subgrid_subgrid_
  0.00 153729.65     0.31      200     0.00     0.00  mod_clm_typeinit_initclmtype_init_column_cflux_type
  0.00 153729.95     0.30                             lapack_dgbsv_dswap_
  0.00 153730.24     0.29  5991792     0.00     0.00  mod_heatindex_initial_find_eqvar_
  0.00 153730.53     0.29      400     0.00     0.00  mod_clm_typeinit_initclmtype_init_pft_nstate_type
  0.00 153730.81     0.28    38600     0.00     0.00  mod_clm_pft2col_pft2col_
  0.00 153731.08     0.27      200     0.00     0.04  mod_params_param_
  0.00 153731.35     0.27 25076500     0.00     0.00  mod_init_pfwsat_
  0.00 153731.61     0.26    13200     0.00     0.00  mod_clm_urban_view_factor_
  0.00 153731.87     0.26     7800     0.00     0.00  mod_memutil_getmem4d_d_
  0.00 153732.13     0.26      200     0.00     0.00  mod_clm_typeinit_initclmtype_init_column_nflux_type
  0.00 153732.39     0.26      400     0.00     0.00  mod_rad_radiation_radoz2_
  0.00 153732.63     0.24 50674730     0.00     0.00  mod_zita_zfz_
  0.00 153732.86     0.23      400     0.00     0.00  mod_clm_typeinit_initclmtype_init_pft_estate_type
  0.00 153733.08     0.22      200     0.00     0.00  mod_clm_pftvarcon_pftconrd_
  0.00 153733.29     0.21    77200     0.00     0.00  mod_clm_snowhydrology_combinesnowlayers_
  0.00 153733.50     0.21    13200     0.00     0.00  mod_clm_surfacealbedo_soilalbedo_
  0.00 153733.71     0.21      400     0.00     0.00  mod_clm_typeinit_initclmtype_init_pft_dflux_type
  0.00 153733.91     0.20 104668252     0.00     0.00  mod_ipcc_scenario_ghgval_
  0.00 153734.09     0.19                             mod_moloch_sound_
  0.00 153734.27     0.18    42000     0.00     0.00  mod_spline_spline2_
  0.00 153734.44     0.17  5542200     0.00     0.00  mod_memutil_assignp3d4_d_
  0.00 153734.61     0.17  2304000     0.00     0.00  mod_timer_syncro_check_
  0.00 153734.78     0.17      400     0.00     0.00  mod_clm_typeinit_initclmtype_init_pft_wflux_type
  0.00 153734.95     0.17                             mod_heatindex_
  0.00 153735.11     0.16 133678000     0.00     0.00  mod_date_lleap_
  0.00 153735.27     0.16 25327265     0.00     0.00  mod_zita_bzitap_
  0.00 153735.42     0.15    38600     0.00     0.00  mod_mppparam_linear_to_cartesian_integer_subgrid_subgrid_
  0.00 153735.57     0.15      400     0.00     0.00  mod_clm_typeinit_initclmtype_init_column_estate_type
  0.00 153735.72     0.15      200     0.00     0.00  mod_clm_typeinit_initclmtype_init_pft_psynstate_type
  0.00 153735.87     0.15                             mod_sunorbit_
  0.00 153736.01     0.14    38600     0.00     0.00  mod_clm_histfile_hist_htapes_wrapup_
  0.00 153736.15     0.14      200     0.00     0.07  mod_clm_typeinit_initclmtype_
  0.00 153736.29     0.14      200     0.00     0.00  mod_clm_typeinit_initclmtype_init_column_cstate_type
  0.00 153736.43     0.14  3072000     0.00     0.00  mod_timer_alarm_check_
  0.00 153736.56     0.13 25347465     0.00     0.00  mod_zita_bzita_
  0.00 153736.69     0.13   423600     0.00     0.00  mod_date_yeardayfrac_
  0.00 153736.81     0.12  5991792     0.00     0.00  mod_heatindex_heatindex_
  0.00 153736.93     0.12      200     0.00     0.00  mod_clm_histflds_hist_initflds_
  0.00 153737.05     0.12      200     0.00     0.00  mod_clm_typeinit_initclmtype_init_pft_vstate_type
  0.00 153737.17     0.12      200     0.00   768.38  mod_regcm_interface_rcm_run_
  0.00 153737.28     0.11 371949366     0.00     0.00  mod_heatindex_ra_un_
  0.00 153737.39     0.11    47200     0.00     0.00  mod_memutil_getmem2d_d_
  0.00 153737.50     0.11     3000     0.00     0.00  mod_clm_accumul_init_accum_field_
  0.00 153737.61     0.11      400     0.00     0.00  mod_clm_typeinit_initclmtype_init_column_wflux_type
  0.00 153737.72     0.11      400     0.00     0.00  mod_clm_urbaninput_urbaninput_
  0.00 153737.83     0.11                             mod_clm_nchelper_clm_readvar_real8_0d_
  0.00 153737.94     0.11 11983584     0.00     0.00  mod_lm_interface_pfwsat_
  0.00 153738.04     0.10 16097200     0.00     0.00  mod_date_mdays_leap_
  0.00 153738.14     0.10    48200     0.00     0.00  mod_clm_histfile_masterlist_addfld_
  0.00 153738.24     0.10    38600     0.00     0.00  mod_clm_slaketemperature_phasechange_lake_
  0.00 153738.34     0.10      200     0.00     0.00  mod_clm_surfrd_surfrd_wtxy_veg_all_
  0.00 153738.44     0.10                             mod_ocn_zeng_
  0.00 153738.53     0.09  1120800     0.00     0.00  mod_date_days_from_reference_to_date_
  0.00 153738.62     0.09      400     0.00     0.00  mod_clm_histfile_hist_restart_ncd_
  0.00 153738.71     0.09      200     0.00     0.00  mod_clm_accflds_initaccclmtype_
  0.00 153738.80     0.09      200     0.00     0.00  mod_clm_reweight_reweightwrapup_
  0.00 153738.89     0.09      200     0.00     0.00  mod_clm_typeinit_initclmtype_init_pft_ecophys_constants
  0.00 153738.97     0.08    57400     0.00     0.00  mod_memutil_getmem1d_d_
  0.00 153739.05     0.08    13000     0.00     0.00  mod_ocn_common_albedoocn_
  0.00 153739.13     0.08     2000     0.00     0.00  mod_clm_histfile_hist_addfld2d_
  0.00 153739.21     0.08      600     0.00     0.00  mod_clm_typeinit_initclmtype_init_column_eflux_type
  0.00 153739.29     0.08      200     0.00     0.00  mod_clm_filter_allocfilters_
  0.00 153739.37     0.08      200     0.00     0.13  mod_clm_regcm_initclm45_
  0.00 153739.45     0.08      200     0.00     0.00  mod_clm_typeinit_initclmtype_init_column_nstate_type
  0.00 153739.52     0.07    14430     0.00     0.00  mod_clm_urban_urbansnowalbedo_
  0.00 153739.59     0.07      200     0.00     0.00  mod_clm_typeinit_initclmtype_init_landunit_pstate_type
  0.00 153739.66     0.07      200     0.00     0.00  mod_clm_urbaninit_urbaninittimeconst_
  0.00 153739.73     0.07 47934336     0.00     0.00  mod_lm_interface_wlh_
  0.00 153739.80     0.07      400     0.00     0.00  mod_mppparam_real8_2d_exchange_left_right_
  0.00 153739.87     0.07      200     0.00     0.00  mod_clm_control_control_init_
  0.00 153739.94     0.07      200     0.00     0.00  mod_clm_dust_dustini_
  0.00 153740.01     0.07      200     0.00     0.00  mod_micro_nogtom_init_nogtom_
  0.00 153740.08     0.07                             mod_output_
  0.00 153740.15     0.07                             mod_pbl_holtbl_pfesat_
  0.00 153740.21     0.06  5991792     0.00     0.00  mod_capecin_otlift_pfesat
  0.00 153740.27     0.06  2076000     0.00     0.00  mod_timer_is_start_
  0.00 153740.33     0.06   575400     0.00     0.00  mod_clm_accumul_extract_accum_field_sl_
  0.00 153740.39     0.06    77200     0.00     0.00  mod_clm_snowhydrology_snowcompaction_
  0.00 153740.45     0.06     3600     0.00     0.00  mod_clm_nchelper_clm_readvar_real8_2d_par_sg_
  0.00 153740.51     0.06     1000     0.00     0.00  mod_ncio_read_icbc_
  0.00 153740.57     0.06      200     0.00     0.00  mod_clm_filter_setfilters_
  0.00 153740.63     0.06      200     0.00     0.00  mod_message_setup_mesg_
  0.00 153740.69     0.06                             mod_clm_typeinit_
  0.00 153740.75     0.06   384000     0.00     0.00  mod_timer_step_timer_
  0.00 153740.80     0.05 25367665     0.00     0.00  mod_zita_gzita_
  0.00 153740.85     0.05 25327265     0.00     0.00  mod_zita_gzitap_
  0.00 153740.90     0.05  1097226     0.00     0.00  mod_clm_subgrid_subgrid_get_gcellinfo_
  0.00 153740.95     0.05     7215     0.00     0.00  mod_clm_urban_incident_direct_
  0.00 153741.00     0.05      200     0.00     0.00  mod_clm_decompinit_decompinit_lnd_
  0.00 153741.05     0.05      200     0.00     0.00  mod_ocn_common_initocn_
  0.00 153741.10     0.05                             lapack_dgbsv_
  0.00 153741.15     0.05                             lapack_dgbsv_ieeeck_
  0.00 153741.20     0.05                             mod_clm_frictionvelocity_stabilityfunc2_
  0.00 153741.25     0.05                             mod_clm_soilhydrology_
  0.00 153741.30     0.05                             mod_clm_subgridave_c2l_2d_
  0.00 153741.35     0.05                             mod_mppparam_allgather_r_
  0.00 153741.40     0.05                             mod_mppparam_global_to_linear_real4_real8_subgrid_subgrid_
  0.00 153741.45     0.05                             mod_mppparam_real4_4d_exchange_
  0.00 153741.50     0.05                             mod_realkinds_
  0.00 153741.55     0.05      200     0.00     0.00  mod_capecin_otlift_table_fill
  0.00 153741.60     0.05   768200     0.00     0.00  mod_bdycod_is_present_qc_
  0.00 153741.64     0.04 25327265     0.00     0.00  mod_zita_md_fmz_h_
  0.00 153741.68     0.04    39600     0.00     0.00  mod_date_ndaypm_
  0.00 153741.72     0.04    38600     0.00     0.00  mod_clm_vocemission_vocemission_
  0.00 153741.76     0.04    38600     0.00     0.00  mod_ocn_bats_seaice_
  0.00 153741.80     0.04    13000     0.00     0.00  mod_rad_radiation_radini_
  0.00 153741.84     0.04     5000     0.00     0.00  mod_clm_histfile_htape_timeconst_
  0.00 153741.88     0.04     1800     0.00     0.00  mod_clm_nchelper_clm_check_var_
  0.00 153741.92     0.04      400     0.00     0.00  mod_clm_typeinit_initclmtype_init_nitrogen_balance_type
  0.00 153741.96     0.04      400     0.00     0.00  mod_clm_typeinit_initclmtype_init_pft_mflux_type
  0.00 153742.00     0.04      200     0.00     0.00  mod_clm_atmlnd_init_lnd2atm_type_
  0.00 153742.04     0.04      200     0.00     0.00  mod_clm_histfile_hist_htapes_build_
  0.00 153742.08     0.04      200     0.00     0.00  mod_clm_initgridcells_initgridcells_
  0.00 153742.12     0.04      200     0.00     0.00  mod_mppparam_set_nproc_
  0.00 153742.16     0.04      200     0.00     0.00  mod_ncio_read_domain_info_
  0.00 153742.20     0.04      200     0.00     0.00  mod_ncout_newoutfiles_
  0.00 153742.24     0.04                             mod_clm_histflds_
  0.00 153742.28     0.04                             mod_clm_staticecosysdyn_
  0.00 153742.32     0.04                             mod_clm_urban_
  0.00 153742.36     0.04                             mod_mppparam_linear_to_global_logical_subgrid_subgrid_
  0.00 153742.39     0.04    48200     0.00     0.00  mod_clm_histfile_pointer_index_
  0.00 153742.42     0.03  1305800     0.00     0.00  mod_date_initfromtypedt_
  0.00 153742.45     0.03      800     0.00     0.00  mod_space_getspc3d_r4arr_
  0.00 153742.48     0.03      200     0.00     0.00  mod_clm_decompinit_decompinit_glcp_
  0.00 153742.51     0.03      200     0.00     0.00  mod_clm_nchelper_clm_readvar_integer_0d_
  0.00 153742.54     0.03      200     0.00     0.00  mod_ncio_we_have_qi_
  0.00 153742.57     0.03                             lapack_dgbsv_dtrsm_
  0.00 153742.60     0.03                             mod_clm_initimeconst_
  0.00 153742.63     0.03                             mod_clm_nchelper_clm_readvar_real4_1d_
  0.00 153742.66     0.03                             mod_clm_surfrd_
  0.00 153742.69     0.03                             mod_runparams_
  0.00 153742.72     0.03 25327265     0.00     0.00  mod_zita_md_zeta_
  0.00 153742.75     0.03   819000     0.00     0.00  mod_timer_syncro_willact_
  0.00 153742.78     0.03   534800     0.00     0.00  mod_clm_decomp_get_proc_bounds_
